cell_id,lat_center,lng_center,lat_min,lat_max,lng_min,lng_max,point_density,avg_speed,traffic_load
0_137,51.0758539015,71.4146318375,51.0758091,51.075898703,71.414560261,71.414703414,39,8.749451395874024,0.7186424720381215
1_138,51.0759435045,71.4147749905,51.075898703,51.075988306,71.414703414,71.414846567,44,10.550577291721863,0.5868533894500052
1_171,51.0759435045,71.41949903950001,51.075898703,51.075988306,71.419427463,71.419570616,67,12.037499275723357,0.7528797539901053
1_173,51.0759435045,71.4197853455,51.075898703,51.075988306,71.419713769,71.419856922,70,11.442150844012946,0.8460700451885377
1_174,51.0759435045,71.4199284985,51.075898703,51.075988306,71.419856922,71.420000075,44,13.624046649013865,0.41216841786515324
1_175,51.0759435045,71.4200716515,51.075898703,51.075988306,71.420000075,71.420143228,50,13.883961632809449,0.3473578214804654
2_139,51.076033107499995,71.41491814349999,51.075988306,51.076077909,71.414846567,71.41498972,35,9.24219723374503,0.6120123803125528
2_171,51.076033107499995,71.41949903950001,51.075988306,51.076077909,71.419427463,71.419570616,69,11.84152500629038,0.6669759749092252
2_173,51.076033107499995,71.4197853455,51.075988306,51.076077909,71.419713769,71.419856922,74,12.86276994084268,0.7356920222246004
2_174,51.076033107499995,71.4199284985,51.075988306,51.076077909,71.419856922,71.420000075,97,13.31593046589426,0.7115183451107316
2_175,51.076033107499995,71.4200716515,51.075988306,51.076077909,71.420000075,71.420143228,176,12.921737300867937,0.7121564868990196
2_177,51.076033107499995,71.42035795749999,51.075988306,51.076077909,71.420286381,71.420429534,52,9.65123214769987,0.6782080790443392
3_140,51.0761227105,71.4150612965,51.076077909,51.076167512,71.41498972,71.415132873,39,10.303372763304099,0.6787019884640326
3_171,51.0761227105,71.41949903950001,51.076077909,51.076167512,71.419427463,71.419570616,45,11.407349739615547,0.5521493317097264
3_173,51.0761227105,71.4197853455,51.076077909,51.076167512,71.419713769,71.419856922,40,13.291924283229827,0.4862714524415057
3_174,51.0761227105,71.4199284985,51.076077909,51.076167512,71.419856922,71.420000075,121,13.068739623432053,0.7323687125420903
3_175,51.0761227105,71.4200716515,51.076077909,51.076167512,71.420000075,71.420143228,179,14.046010407592945,0.5287254564037034
3_177,51.0761227105,71.42035795749999,51.076077909,51.076167512,71.420286381,71.420429534,31,9.78270687192363,0.47444107226144144
4_141,51.0762123135,71.41520444950001,51.076167512,51.076257115000004,71.415132873,71.415276026,31,7.9604975212537274,0.7724037927139911
4_172,51.0762123135,71.41964219249999,51.076167512,51.076257115000004,71.419570616,71.419713769,68,11.860691427323397,0.8021737487672036
4_174,51.0762123135,71.4199284985,51.076167512,51.076257115000004,71.419856922,71.420000075,115,13.982018494844851,0.6088045691956637
4_175,51.0762123135,71.4200716515,51.076167512,51.076257115000004,71.420000075,71.420143228,152,13.730419890881466,0.583977002669237
4_176,51.0762123135,71.4202148045,51.076167512,51.076257115000004,71.420143228,71.420286381,60,10.037495984511052,0.8702528819533739
4_177,51.0762123135,71.42035795749999,51.076167512,51.076257115000004,71.420286381,71.420429534,39,9.593851194235361,0.5354321228650225
5_172,51.0763019165,71.41964219249999,51.076257115000004,51.076346718,71.419570616,71.419713769,130,5.157900746089754,1.0
5_174,51.0763019165,71.4199284985,51.076257115000004,51.076346718,71.419856922,71.420000075,94,14.540981378897808,0.5747265840396776
5_175,51.0763019165,71.4200716515,51.076257115000004,51.076346718,71.420000075,71.420143228,123,13.714976695903529,0.6424734241339272
5_176,51.0763019165,71.4202148045,51.076257115000004,51.076346718,71.420143228,71.420286381,100,11.877720407048285,0.7705244205929034
5_178,51.0763019165,71.4205011105,51.076257115000004,51.076346718,71.420429534,71.420572687,43,7.5232386009405365,0.7284985764117301
6_143,51.07639151950001,71.4154907555,51.076346718,51.076436321,71.415419179,71.415562332,136,5.4302725558670835,0.9789808870179173
6_172,51.07639151950001,71.41964219249999,51.076346718,51.076436321,71.419570616,71.419713769,63,13.045038034715198,0.7596799250845299
6_174,51.07639151950001,71.4199284985,51.076346718,51.076436321,71.419856922,71.420000075,69,15.034902924172222,0.501677725216217
6_175,51.07639151950001,71.4200716515,51.076346718,51.076436321,71.420000075,71.420143228,94,13.197250317421771,0.6970724368441026
6_176,51.07639151950001,71.4202148045,51.076346718,51.076436321,71.420143228,71.420286381,169,13.425904144863544,0.5701718345228535
6_178,51.07639151950001,71.4205011105,51.076346718,51.076436321,71.420429534,71.420572687,57,8.417650600945782,0.8680419723790491
7_144,51.0764811225,71.4156339085,51.076436321,51.076525924,71.415562332,71.415705485,91,2.674939622652898,1.0
7_172,51.0764811225,71.41964219249999,51.076436321,51.076525924,71.419570616,71.419713769,62,10.946971648478304,0.8020196758708436
7_174,51.0764811225,71.4199284985,51.076436321,51.076525924,71.419856922,71.420000075,55,15.07146494138128,0.5238681236922773
7_175,51.0764811225,71.4200716515,51.076436321,51.076525924,71.420000075,71.420143228,93,14.247537012963654,0.5445678975945489
7_176,51.0764811225,71.4202148045,51.076436321,51.076525924,71.420143228,71.420286381,185,12.855255509687474,0.6001831023259558
7_178,51.0764811225,71.4205011105,51.076436321,51.076525924,71.420429534,71.420572687,157,2.253297817122753,1.0
8_144,51.076570725500005,71.4156339085,51.076525924,51.076615527,71.415562332,71.415705485,39,11.466488357244637,0.6073800986593889
8_173,51.076570725500005,71.4197853455,51.076525924,51.076615527,71.419713769,71.419856922,84,6.794824322179158,1.0
8_175,51.076570725500005,71.4200716515,51.076525924,51.076615527,71.420000075,71.420143228,101,15.123717925188423,0.4518957972324283
8_176,51.076570725500005,71.4202148045,51.076525924,51.076615527,71.420143228,71.420286381,194,12.31538370623047,0.6932968098647521
8_177,51.076570725500005,71.42035795749999,51.076525924,51.076615527,71.420286381,71.420429534,41,12.15185356776912,0.4481415515732702
8_178,51.076570725500005,71.4205011105,51.076525924,51.076615527,71.420429534,71.420572687,48,10.350950271317165,0.46443226912728097
9_145,51.0766603285,71.4157770615,51.076615527,51.07670513,71.415705485,71.415848638,32,9.746371626530886,0.7085967309250378
9_173,51.0766603285,71.4197853455,51.076615527,51.07670513,71.419713769,71.419856922,72,11.873986896828544,0.7894274386999571
9_175,51.0766603285,71.4200716515,51.076615527,51.07670513,71.420000075,71.420143228,104,14.626519044371385,0.5117276574110956
9_176,51.0766603285,71.4202148045,51.076615527,51.07670513,71.420143228,71.420286381,153,12.014526204262177,0.7237947113487824
9_177,51.0766603285,71.42035795749999,51.076615527,51.07670513,71.420286381,71.420429534,82,11.810072808910462,0.6851647314745706
10_146,51.076749931500004,71.4159202145,51.07670513,51.076794733,71.415848638,71.415991791,42,9.921439610159453,0.6966330534708658
10_173,51.076749931500004,71.4197853455,51.07670513,51.076794733,71.419713769,71.419856922,78,12.318820527483624,0.7701476049087548
10_175,51.076749931500004,71.4200716515,51.07670513,51.076794733,71.420000075,71.420143228,72,14.474484800679559,0.6042093314929873
